Location,Search_Term,Search_Volume,Vet_Reported_Cases,Weather,Humidity_Index,Risk_Level
Kataragama,dog coughing,21,2,dry,2,Medium
Wattala,dog vomiting,16,0,dry,2,Medium
Chilaw,dog vomiting,7,2,humid,10,Medium
Maharagama,eye infection,14,14,dry,2,High
Ginigathhena,fleas,20,2,hot,4,Medium
Ja-Ela,dog coughing,9,9,humid,10,Medium
Vavuniya,dog coughing,4,7,hot,4,Medium
Ja-Ela,ticks,18,9,hot,4,High
Polonnaruwa,dog fever,26,1,rainy,6,High
Rathmalana,loss of appetite,6,6,hot,4,Medium
Hatton,dog fever,11,7,rainy,6,Medium
Jaffna,kennel cough,18,9,dry,2,High
Kilinochchi,itchy skin,6,13,dry,2,Medium
Badulla,ticks,8,10,rainy,6,Medium
Mannar,loss of appetite,6,2,hot,4,Low
Batticaloa,dog coughing,5,8,humid,10,Medium
Moratuwa,lethargy,17,1,rainy,6,Medium
Badulla,itchy skin,10,4,rainy,6,Medium
Kilinochchi,itchy skin,10,7,hot,4,Medium
Maharagama,dog fever,12,2,humid,10,Medium
Hatton,eye infection,12,8,hot,4,Medium
Homagama,lethargy,7,1,dry,2,Low
Kilinochchi,eye infection,15,4,hot,4,Medium
Galle,eye infection,12,10,rainy,6,Medium
Kalawana,fleas,5,4,hot,4,Low
Piliyandala,eye infection,9,3,rainy,6,Medium
Embilipitiya,kennel cough,24,5,hot,4,High
Middeniya,loss of appetite,22,2,dry,2,Medium
Matale,ticks,20,11,humid,10,High
Piliyandala,kennel cough,1,3,rainy,6,Low
Weligama,ticks,3,5,humid,10,Medium
Mahiyanganaya,kennel cough,15,9,humid,10,High
Ambalangoda,kennel cough,15,0,dry,2,Medium
Weeraketiya,kennel cough,6,1,rainy,6,Low
Balangoda,dog vomiting,9,5,hot,4,Medium
Balangoda,loss of appetite,16,0,rainy,6,Medium
Panadura,eye infection,17,11,rainy,6,High
Horana,fleas,7,9,humid,10,Medium
Mawanella,itchy skin,0,6,dry,2,Low
Hikkaduwa,lethargy,4,2,hot,4,Low
Balangoda,loss of appetite,17,5,dry,2,Medium
Kandy,dog fever,3,5,dry,2,Low
Weeraketiya,itchy skin,21,3,rainy,6,Medium
Narammala,dog coughing,15,7,dry,2,Medium
Anuradhapura,dog coughing,19,4,rainy,6,Medium
Passara,fleas,13,5,rainy,6,Medium
Rathmalana,dog fever,7,1,humid,10,Medium
Kelaniya,loss of appetite,14,14,humid,10,High
Kandana,dog coughing,16,0,hot,4,Medium
Rathmalana,itchy skin,1,3,hot,4,Low
Narammala,dog vomiting,11,12,rainy,6,High
Bandarawela,itchy skin,4,9,dry,2,Medium
Batticaloa,dog coughing,6,2,dry,2,Low
Kothmale,fleas,16,0,hot,4,Medium
Kotte,loss of appetite,8,1,humid,10,Medium
Dankotuwa,lethargy,10,8,rainy,6,Medium
Mirissa,itchy skin,4,2,rainy,6,Low
Kelaniya,lethargy,6,6,rainy,6,Medium
Kegalle,ticks,8,0,humid,10,Low
Galgamuwa,ticks,11,8,rainy,6,Medium
Matugama,lethargy,7,10,rainy,6,Medium
Ganemulla,ticks,6,9,hot,4,Medium
Ganemulla,itchy skin,3,9,rainy,6,Medium
Kataragama,itchy skin,13,7,dry,2,Medium
Kalutara,loss of appetite,22,4,hot,4,Medium
Negombo,dog fever,14,12,dry,2,High
Ragama,loss of appetite,16,3,rainy,6,Medium
Moragahamula,dog vomiting,14,3,humid,10,Medium
Maharagama,loss of appetite,14,3,hot,4,Medium
Matale,fleas,11,0,humid,10,Medium
Middeniya,eye infection,11,10,dry,2,Medium
Polonnaruwa,ticks,22,9,hot,4,High
Matara,lethargy,8,5,rainy,6,Medium
Dankotuwa,fleas,1,0,rainy,6,Low
Gonapola,dog fever,5,0,humid,10,Low
Elpitiya,fleas,2,0,dry,2,Low
Kosgama,kennel cough,14,8,dry,2,Medium
Galgamuwa,kennel cough,5,2,hot,4,Low
Passara,loss of appetite,4,6,dry,2,Low
Gonapola,lethargy,4,5,rainy,6,Low
Negombo,dog vomiting,16,4,humid,10,Medium
Badulla,ticks,14,6,dry,2,Medium
Kosgama,lethargy,8,8,humid,10,Medium
Wellawaya,eye infection,13,2,humid,10,Medium
Bandaragama,dog fever,6,0,dry,2,Low
Marawila,dog fever,5,4,hot,4,Low
Colombo,dog vomiting,7,8,rainy,6,Medium
Badulla,kennel cough,4,2,humid,10,Low
Galle,itchy skin,4,11,dry,2,Medium
Ja-Ela,dog fever,1,0,rainy,6,Low
Hatton,itchy skin,12,4,hot,4,Medium
Giriulla,dog coughing,5,11,rainy,6,Medium
Bandarawela,ticks,12,0,hot,4,Low
Kothmale,eye infection,1,3,hot,4,Low
Haputale,loss of appetite,11,5,humid,10,Medium
Haputale,loss of appetite,23,0,rainy,6,Medium
Piliyandala,itchy skin,4,7,hot,4,Medium
Agunukolapelessa,loss of appetite,13,0,humid,10,Medium
Wellawaya,itchy skin,23,8,humid,10,High
Maskeliya,ticks,5,5,humid,10,Medium
Haputale,fleas,17,12,dry,2,High
Puttalam,fleas,20,1,humid,10,Medium
Hanwella,fleas,21,12,hot,4,High
Dehiwala,fleas,6,3,rainy,6,Low
Vavuniya,itchy skin,5,0,rainy,6,Low
Marawila,fleas,18,3,hot,4,Medium
Mirissa,ticks,18,0,humid,10,Medium
Ambalangoda,ticks,7,7,humid,10,Medium
Trincomalee,fleas,4,1,humid,10,Low
Ambalangoda,eye infection,2,5,dry,2,Low
Dambulla,dog vomiting,2,9,humid,10,Medium
Kataragama,itchy skin,13,5,dry,2,Medium
Gampaha,kennel cough,2,5,rainy,6,Low
Hanwella,kennel cough,12,6,humid,10,Medium
Galle,lethargy,31,7,humid,10,High
Kandana,itchy skin,14,12,hot,4,High
Seeduwa,lethargy,7,0,dry,2,Low
Galewela,fleas,13,10,humid,10,High
Mahiyanganaya,ticks,11,16,humid,10,High
Narammala,ticks,8,3,rainy,6,Medium
Gonapola,dog coughing,1,6,rainy,6,Low
Trincomalee,fleas,11,7,dry,2,Medium
Maharagama,dog coughing,5,1,dry,2,Low
Polonnaruwa,eye infection,13,3,humid,10,Medium
Mullaitivu,kennel cough,20,2,rainy,6,Medium
Ginigathhena,dog fever,3,8,hot,4,Medium
Kotte,dog fever,9,4,dry,2,Medium
Gampaha,loss of appetite,1,5,humid,10,Low
Hatton,dog coughing,9,1,rainy,6,Low
Matale,loss of appetite,19,2,dry,2,Medium
Matugama,eye infection,21,6,rainy,6,High
Pelmadulla,fleas,3,0,dry,2,Low
Beruwala,kennel cough,2,10,dry,2,Medium
Matale,dog vomiting,15,6,hot,4,Medium
Galewela,itchy skin,3,5,rainy,6,Low
Giriulla,loss of appetite,2,9,humid,10,Medium
Mannar,eye infection,11,8,dry,2,Medium
Ganemulla,itchy skin,5,16,hot,4,Medium
Middeniya,dog coughing,13,9,rainy,6,Medium
Ganemulla,dog coughing,18,6,rainy,6,Medium
Avissawella,ticks,14,9,humid,10,High
Kandy,kennel cough,2,5,dry,2,Low
Buttala,dog coughing,13,2,dry,2,Medium
Monaragala,dog vomiting,6,0,dry,2,Low
Galgamuwa,ticks,26,12,dry,2,High
Mirissa,itchy skin,16,0,hot,4,Medium
Passara,fleas,15,3,rainy,6,Medium
Mirissa,ticks,4,15,humid,10,High
Weeraketiya,kennel cough,11,8,humid,10,Medium
Ganemulla,kennel cough,23,5,hot,4,High
Mullaitivu,itchy skin,14,0,rainy,6,Medium
Jaffna,dog coughing,13,7,humid,10,Medium
Matale,fleas,12,0,rainy,6,Medium
Horana,eye infection,13,14,humid,10,High
Aluthgama,kennel cough,1,5,hot,4,Low
Polonnaruwa,dog vomiting,3,13,humid,10,Medium
Ragama,loss of appetite,2,5,humid,10,Medium
Vavuniya,ticks,9,8,hot,4,Medium
Embilipitiya,itchy skin,21,8,humid,10,High
Haputale,fleas,3,6,hot,4,Low
Polonnaruwa,ticks,5,7,rainy,6,Medium
Kalutara,itchy skin,1,0,hot,4,Low
Kurunegala,kennel cough,1,1,humid,10,Low
Ja-Ela,loss of appetite,6,0,dry,2,Low
Kandy,fleas,9,2,dry,2,Low
Dehiwala,dog fever,11,3,dry,2,Medium
Horana,kennel cough,13,3,rainy,6,Medium
Dehiwala,fleas,2,0,dry,2,Low
Horana,kennel cough,4,1,rainy,6,Low
Embilipitiya,ticks,15,0,humid,10,Medium
Ratnapura,fleas,10,5,dry,2,Medium
Puttalam,dog fever,3,11,rainy,6,Medium
Colombo,lethargy,13,7,humid,10,Medium
Kandy,dog coughing,1,7,hot,4,Low
Narammala,loss of appetite,11,13,hot,4,High
Dehiwala,dog coughing,12,0,rainy,6,Medium
Trincomalee,dog coughing,22,0,humid,10,Medium
Boralesgamuwa,dog vomiting,15,2,dry,2,Medium
Beruwala,fleas,6,9,hot,4,Medium
Gonapola,dog fever,19,9,rainy,6,High
Batticaloa,dog fever,8,9,humid,10,Medium
Mirissa,dog vomiting,9,7,hot,4,Medium
Matale,dog fever,10,6,hot,4,Medium
Balangoda,lethargy,10,0,dry,2,Low
Kadawatha,kennel cough,2,1,humid,10,Low
Beruwala,lethargy,10,8,hot,4,Medium
Galewela,fleas,9,2,humid,10,Medium
Galgamuwa,kennel cough,8,3,dry,2,Low
Dambulla,fleas,7,3,humid,10,Medium
Boralesgamuwa,fleas,11,7,dry,2,Medium
Passara,lethargy,17,5,rainy,6,Medium
Ratnapura,eye infection,4,4,dry,2,Low
Ja-Ela,kennel cough,9,0,hot,4,Low
Dankotuwa,dog coughing,6,9,hot,4,Medium
Vavuniya,eye infection,4,7,humid,10,Medium
Mannar,loss of appetite,11,4,humid,10,Medium
Anuradhapura,eye infection,9,11,rainy,6,Medium
Ragama,loss of appetite,14,6,rainy,6,Medium
Wariyapola,dog fever,2,3,humid,10,Low
Ja-Ela,ticks,30,3,dry,2,High
Ja-Ela,dog coughing,15,0,dry,2,Medium
Minuwangoda,eye infection,12,2,rainy,6,Medium
Balangoda,eye infection,4,4,dry,2,Low
Weeraketiya,ticks,9,3,dry,2,Low
Gampaha,loss of appetite,12,7,dry,2,Medium
Panadura,kennel cough,17,10,humid,10,High
Balangoda,dog coughing,19,1,humid,10,Medium
Weligama,itchy skin,12,5,rainy,6,Medium
Seeduwa,eye infection,2,3,rainy,6,Low
Batticaloa,dog vomiting,18,0,hot,4,Medium
Mapalana,dog vomiting,13,12,dry,2,Medium
Maharagama,eye infection,8,7,hot,4,Medium
Hikkaduwa,itchy skin,5,8,humid,10,Medium
Matale,itchy skin,22,6,rainy,6,High
Mullaitivu,ticks,10,3,dry,2,Low
Giriulla,eye infection,16,5,hot,4,Medium
Ragama,dog fever,22,3,hot,4,Medium
Colombo,dog coughing,18,5,dry,2,Medium
Matara,dog fever,14,6,hot,4,Medium
Panadura,loss of appetite,25,6,dry,2,High
Deniyaya,dog vomiting,7,9,dry,2,Medium
Ampara,loss of appetite,21,0,dry,2,Medium
Maharagama,fleas,0,2,rainy,6,Low
Mapalana,lethargy,8,0,humid,10,Low
Wattala,dog fever,2,11,hot,4,Medium
Piliyandala,kennel cough,18,6,humid,10,High
Haputale,lethargy,25,13,hot,4,High
Maharagama,lethargy,19,7,hot,4,Medium
Galle,dog coughing,22,3,humid,10,High
Nuwara Eliya,dog fever,15,0,hot,4,Medium
Moragahamula,kennel cough,12,11,humid,10,High
Beruwala,itchy skin,8,3,humid,10,Medium
Warakapola,dog fever,3,1,humid,10,Low
Ja-Ela,lethargy,17,3,humid,10,Medium
Trincomalee,eye infection,6,7,dry,2,Medium
Kadawatha,dog fever,17,4,dry,2,Medium
Puttalam,loss of appetite,14,3,humid,10,Medium
Nuwara Eliya,dog coughing,16,12,dry,2,High
Kahawatte,dog fever,1,11,hot,4,Medium
Panadura,itchy skin,6,10,hot,4,Medium
Kosgama,kennel cough,11,1,dry,2,Low
Kandy,fleas,15,0,rainy,6,Medium
Marawila,kennel cough,1,12,dry,2,Medium
Kurunegala,dog fever,7,0,dry,2,Low
Kotte,dog fever,9,3,dry,2,Low
Warakapola,loss of appetite,29,5,rainy,6,High
Matugama,dog fever,11,4,rainy,6,Medium
Mannar,loss of appetite,22,0,dry,2,Medium
Bandaragama,dog coughing,9,0,hot,4,Low
Moratuwa,fleas,5,8,hot,4,Medium
Kothmale,dog coughing,17,3,hot,4,Medium
Homagama,ticks,12,8,humid,10,Medium
Trincomalee,lethargy,11,9,rainy,6,Medium
Wellawaya,kennel cough,19,6,hot,4,Medium
Ratnapura,dog vomiting,6,8,humid,10,Medium
Mahiyanganaya,lethargy,12,0,dry,2,Low
Horana,itchy skin,17,6,dry,2,Medium
Panadura,dog coughing,0,8,rainy,6,Low
Galle,dog vomiting,9,6,humid,10,Medium
Kalawana,itchy skin,0,2,humid,10,Low
Ja-Ela,dog coughing,3,4,humid,10,Medium
Matugama,dog fever,8,3,humid,10,Medium
Moragahamula,fleas,19,4,rainy,6,Medium
Matara,loss of appetite,6,9,humid,10,Medium
Bandarawela,itchy skin,11,7,dry,2,Medium
Kalutara,lethargy,11,11,rainy,6,Medium
Avissawella,kennel cough,3,4,humid,10,Medium
Trincomalee,ticks,5,7,rainy,6,Medium
Piliyandala,fleas,23,6,humid,10,High
Anuradhapura,eye infection,13,3,humid,10,Medium
Kalutara,kennel cough,3,6,rainy,6,Medium
Maskeliya,itchy skin,7,7,humid,10,Medium
Ganemulla,ticks,21,10,dry,2,High
Ja-Ela,dog coughing,1,10,dry,2,Medium
Kandy,dog fever,4,4,dry,2,Low
Batticaloa,ticks,16,7,dry,2,Medium
Kandy,itchy skin,12,3,rainy,6,Medium
Anuradhapura,eye infection,5,1,humid,10,Low
Anuradhapura,fleas,13,8,rainy,6,Medium
Pelmadulla,lethargy,3,1,dry,2,Low
Kotte,kennel cough,1,4,dry,2,Low
Jaffna,kennel cough,20,1,humid,10,Medium
Embilipitiya,fleas,0,0,humid,10,Low
Seeduwa,dog coughing,11,5,hot,4,Medium
Kosgama,loss of appetite,12,4,hot,4,Medium
Hanwella,dog fever,18,5,humid,10,High
Kurunegala,ticks,16,5,hot,4,Medium
Vavuniya,eye infection,4,0,hot,4,Low
Mawanella,kennel cough,4,7,dry,2,Low
Ja-Ela,fleas,10,2,dry,2,Low
Dankotuwa,dog coughing,11,1,hot,4,Low
Jaffna,dog fever,18,3,hot,4,Medium
Kalutara,fleas,18,8,hot,4,High
Kandy,eye infection,0,2,rainy,6,Low
Marawila,eye infection,7,6,humid,10,Medium
Kataragama,itchy skin,14,8,hot,4,Medium
Kegalle,fleas,22,11,dry,2,High
Galgamuwa,fleas,6,2,hot,4,Low
Mullaitivu,lethargy,4,2,rainy,6,Low
Ratnapura,dog coughing,13,9,hot,4,Medium
Aluthgama,lethargy,6,7,hot,4,Medium
Mullaitivu,loss of appetite,3,5,humid,10,Medium
Hikkaduwa,itchy skin,20,4,hot,4,Medium
Hambantota,lethargy,13,0,dry,2,Low
Balangoda,dog coughing,14,2,dry,2,Medium
Warakapola,eye infection,6,0,dry,2,Low
Galle,ticks,5,1,dry,2,Low
Point Pedro,eye infection,2,10,dry,2,Medium
Aluthgama,dog coughing,16,1,rainy,6,Medium
Matugama,dog coughing,16,6,hot,4,Medium
Rathmalana,ticks,14,11,rainy,6,High
Polonnaruwa,fleas,6,5,hot,4,Medium
Mirissa,itchy skin,14,1,rainy,6,Medium
Kothmale,eye infection,18,9,hot,4,High
Hikkaduwa,eye infection,3,10,hot,4,Medium
Kosgama,dog vomiting,9,7,dry,2,Medium
Katunayake,itchy skin,21,2,rainy,6,Medium
Anuradhapura,dog vomiting,7,6,rainy,6,Medium
Weeraketiya,kennel cough,12,3,rainy,6,Medium
Kalutara,kennel cough,20,6,rainy,6,High
Batticaloa,itchy skin,20,5,dry,2,Medium
Ragama,fleas,12,2,hot,4,Medium
Kahawatte,loss of appetite,20,3,hot,4,Medium
Bandaragama,itchy skin,12,1,hot,4,Medium
Polonnaruwa,fleas,2,6,dry,2,Low
Polonnaruwa,dog coughing,7,10,hot,4,Medium
Mullaitivu,eye infection,17,16,dry,2,High
Puttalam,kennel cough,31,2,humid,10,High
Mapalana,itchy skin,7,2,rainy,6,Low
Maskeliya,dog fever,0,0,humid,10,Low
Aluthgama,fleas,8,8,rainy,6,Medium
Kadawatha,lethargy,21,1,dry,2,Medium
Hambantota,fleas,3,17,humid,10,High
Anuradhapura,ticks,13,2,hot,4,Medium
Seeduwa,dog coughing,17,8,hot,4,Medium
Agunukolapelessa,lethargy,13,5,humid,10,Medium
Matale,dog vomiting,15,1,humid,10,Medium
Panadura,eye infection,2,10,hot,4,Medium
Kegalle,fleas,0,3,humid,10,Low
Batticaloa,eye infection,21,8,dry,2,High
Point Pedro,dog coughing,15,10,rainy,6,High
Embilipitiya,dog vomiting,15,6,dry,2,Medium
Pelmadulla,dog fever,3,5,rainy,6,Low
Middeniya,dog fever,3,1,humid,10,Low
Kegalle,fleas,10,0,dry,2,Low
Galewela,eye infection,9,6,hot,4,Medium
Agunukolapelessa,lethargy,9,8,dry,2,Medium
Minuwangoda,eye infection,5,2,rainy,6,Low
Buttala,dog fever,4,10,rainy,6,Medium
Dehiwala,dog fever,26,5,humid,10,High
Kuliyapitiya,kennel cough,11,0,dry,2,Low
Mirissa,kennel cough,15,9,rainy,6,High
Homagama,ticks,18,2,hot,4,Medium
Colombo,itchy skin,6,12,humid,10,Medium
Embilipitiya,lethargy,12,4,humid,10,Medium
Kandana,itchy skin,18,4,humid,10,Medium
Mapalana,lethargy,15,5,rainy,6,Medium
Katunayake,kennel cough,11,2,hot,4,Medium
Ambalangoda,dog vomiting,22,5,hot,4,High
Balangoda,loss of appetite,4,2,hot,4,Low
Puttalam,loss of appetite,16,7,hot,4,Medium
Matara,eye infection,1,5,dry,2,Low
Dehiwala,kennel cough,11,1,dry,2,Low
Seeduwa,fleas,0,0,humid,10,Low
Chilaw,ticks,4,2,dry,2,Low
Galewela,loss of appetite,21,3,hot,4,Medium
Point Pedro,dog coughing,2,7,humid,10,Medium
Mawanella,ticks,2,7,humid,10,Medium
Tissamaharama,dog vomiting,6,9,rainy,6,Medium
Maskeliya,eye infection,13,2,humid,10,Medium
Kegalle,dog vomiting,10,13,rainy,6,High
Kotte,loss of appetite,9,3,rainy,6,Medium
Kalutara,ticks,5,2,dry,2,Low
Colombo,eye infection,13,4,rainy,6,Medium
Ratnapura,itchy skin,20,11,humid,10,High
Wariyapola,loss of appetite,9,10,hot,4,Medium
Dankotuwa,ticks,15,9,hot,4,Medium
Balangoda,dog vomiting,6,4,hot,4,Low
Puttalam,lethargy,10,0,dry,2,Low
Weligama,kennel cough,14,3,humid,10,Medium
Dankotuwa,fleas,0,0,rainy,6,Low
Passara,ticks,18,3,rainy,6,Medium
Ginigathhena,itchy skin,16,7,rainy,6,Medium
Buttala,kennel cough,16,5,dry,2,Medium
Kandy,loss of appetite,18,8,hot,4,High
Hanwella,loss of appetite,10,6,dry,2,Medium
Jaffna,fleas,18,8,hot,4,High
Galle,loss of appetite,9,4,rainy,6,Medium
Maskeliya,kennel cough,9,8,humid,10,Medium
Embilipitiya,dog vomiting,11,7,hot,4,Medium
Wariyapola,dog fever,12,5,humid,10,Medium
Pelmadulla,kennel cough,24,3,humid,10,High
Hanwella,lethargy,21,8,dry,2,High
Passara,ticks,22,1,hot,4,Medium
Agunukolapelessa,itchy skin,15,3,humid,10,Medium
Wariyapola,dog vomiting,18,14,rainy,6,High
Mirissa,ticks,7,6,humid,10,Medium
Balangoda,ticks,2,7,dry,2,Low
Minuwangoda,loss of appetite,15,3,hot,4,Medium
Marawila,dog vomiting,18,11,dry,2,High
Giriulla,ticks,10,7,hot,4,Medium
Ginigathhena,dog coughing,18,1,dry,2,Medium
Minuwangoda,kennel cough,5,0,dry,2,Low
Nuwara Eliya,loss of appetite,11,7,hot,4,Medium
Kadawatha,itchy skin,0,10,rainy,6,Medium
Wariyapola,kennel cough,7,10,hot,4,Medium
Balangoda,eye infection,5,0,rainy,6,Low
Deniyaya,itchy skin,18,2,dry,2,Medium
Vavuniya,kennel cough,3,8,rainy,6,Medium
Seeduwa,ticks,12,6,hot,4,Medium
Kuliyapitiya,lethargy,5,4,dry,2,Low
Boralesgamuwa,eye infection,9,10,dry,2,Medium
Gonapola,dog coughing,2,9,humid,10,Medium
Bandarawela,itchy skin,17,8,hot,4,Medium
Maskeliya,dog coughing,11,10,dry,2,Medium
Avissawella,itchy skin,4,5,humid,10,Medium
Gampaha,dog fever,23,8,hot,4,High
Kothmale,ticks,17,0,humid,10,Medium
Point Pedro,loss of appetite,2,3,hot,4,Low
Marawila,dog vomiting,3,5,dry,2,Low
Mannar,eye infection,13,3,hot,4,Medium
Buttala,dog fever,3,0,dry,2,Low
Piliyandala,kennel cough,8,1,rainy,6,Low
Galgamuwa,kennel cough,9,0,hot,4,Low
Batticaloa,dog vomiting,4,11,humid,10,Medium
Dambulla,fleas,16,2,hot,4,Medium
Dambulla,fleas,10,5,rainy,6,Medium
Elpitiya,loss of appetite,2,9,humid,10,Medium
Matara,dog vomiting,8,6,hot,4,Medium
Balangoda,loss of appetite,6,3,humid,10,Medium
Middeniya,eye infection,2,5,humid,10,Medium
Maharagama,ticks,10,8,humid,10,Medium
Ratnapura,ticks,7,0,humid,10,Low
Vavuniya,kennel cough,8,8,dry,2,Medium
Ampara,dog vomiting,6,7,humid,10,Medium
Ragama,loss of appetite,13,3,hot,4,Medium
Monaragala,dog fever,16,8,humid,10,High
Trincomalee,loss of appetite,21,0,humid,10,Medium
Maskeliya,lethargy,4,0,humid,10,Low
Galewela,dog fever,11,7,rainy,6,Medium
Piliyandala,loss of appetite,21,6,rainy,6,High
Hatton,itchy skin,16,2,rainy,6,Medium
Hatton,eye infection,7,9,humid,10,Medium
Kalutara,kennel cough,0,6,humid,10,Medium
Kandy,ticks,3,7,dry,2,Low
Nuwara Eliya,itchy skin,18,8,humid,10,High
Batticaloa,kennel cough,9,9,dry,2,Medium
Weeraketiya,loss of appetite,6,4,humid,10,Medium
Kalawana,eye infection,20,6,hot,4,Medium
Vavuniya,dog vomiting,11,1,humid,10,Medium
Gonapola,loss of appetite,7,10,dry,2,Medium
Moratuwa,dog fever,4,4,hot,4,Low
Gampaha,fleas,5,4,humid,10,Medium
Hatton,dog coughing,8,8,humid,10,Medium
Horana,lethargy,13,3,humid,10,Medium
Warakapola,dog coughing,11,3,dry,2,Medium
Mawanella,fleas,15,8,dry,2,Medium
Hambantota,dog coughing,15,3,hot,4,Medium
Galle,dog fever,1,3,dry,2,Low
Vavuniya,fleas,10,13,humid,10,High
Ragama,lethargy,11,1,humid,10,Medium
Warakapola,ticks,14,6,rainy,6,Medium
Mapalana,lethargy,20,2,dry,2,Medium
Aluthgama,ticks,15,9,rainy,6,High
Trincomalee,kennel cough,2,1,rainy,6,Low
Dambulla,itchy skin,23,8,rainy,6,High
Trincomalee,lethargy,7,10,rainy,6,Medium
Avissawella,fleas,5,3,rainy,6,Low
Mullaitivu,dog fever,11,2,dry,2,Low
Galle,kennel cough,20,1,dry,2,Medium
Vavuniya,ticks,20,0,humid,10,Medium
Galgamuwa,fleas,10,11,rainy,6,Medium
Kilinochchi,loss of appetite,7,6,rainy,6,Medium
Maskeliya,itchy skin,13,5,hot,4,Medium
Moragahamula,lethargy,25,9,rainy,6,High
Haputale,kennel cough,1,12,hot,4,Medium
Puttalam,dog coughing,26,8,rainy,6,High
Vavuniya,kennel cough,8,10,dry,2,Medium
Marawila,dog fever,4,12,humid,10,Medium
Matale,dog vomiting,19,11,dry,2,High
Aluthgama,dog fever,11,3,rainy,6,Medium
Mahiyanganaya,eye infection,9,0,humid,10,Medium
Galgamuwa,loss of appetite,20,6,dry,2,Medium
Buttala,fleas,10,2,rainy,6,Medium
Kalutara,fleas,1,7,humid,10,Medium
Mapalana,ticks,6,7,hot,4,Medium
Gampaha,dog fever,16,9,dry,2,Medium
Mullaitivu,lethargy,15,11,rainy,6,High
Bandarawela,dog coughing,7,5,rainy,6,Medium
Hanwella,eye infection,14,9,humid,10,High
Monaragala,dog vomiting,19,11,hot,4,High
Moragahamula,itchy skin,7,3,hot,4,Low
Dehiwala,dog fever,14,7,humid,10,Medium
Hatton,lethargy,19,9,rainy,6,High
Embilipitiya,ticks,15,1,rainy,6,Medium
Wellawaya,fleas,3,7,rainy,6,Medium
Weligama,fleas,16,7,hot,4,Medium
Ragama,dog fever,5,8,dry,2,Medium
Weligama,dog coughing,13,1,rainy,6,Medium
Matara,dog vomiting,6,15,humid,10,High
Mapalana,loss of appetite,16,0,rainy,6,Medium
Negombo,ticks,2,6,hot,4,Low
Deniyaya,dog vomiting,6,3,hot,4,Low
Ratnapura,eye infection,26,3,dry,2,Medium
Mirissa,ticks,0,3,humid,10,Low
Avissawella,fleas,10,1,humid,10,Medium
Weeraketiya,loss of appetite,17,9,hot,4,High
Kurunegala,ticks,5,7,hot,4,Medium
Matara,dog vomiting,9,5,dry,2,Medium
Kuliyapitiya,dog vomiting,22,1,humid,10,Medium
Kotte,dog coughing,16,6,humid,10,High
Minuwangoda,lethargy,9,3,dry,2,Low
Katunayake,itchy skin,2,9,hot,4,Medium
Dankotuwa,kennel cough,12,9,humid,10,High
Galgamuwa,eye infection,5,8,rainy,6,Medium
Beruwala,itchy skin,7,0,dry,2,Low
Trincomalee,dog fever,13,0,hot,4,Medium
Weligama,loss of appetite,18,0,rainy,6,Medium
Ratnapura,ticks,24,6,humid,10,High
Point Pedro,itchy skin,22,0,humid,10,Medium
Gonapola,kennel cough,20,4,hot,4,Medium
Balangoda,loss of appetite,5,6,humid,10,Medium
Marawila,lethargy,4,10,dry,2,Medium
Matara,fleas,4,4,humid,10,Medium
Gampaha,lethargy,6,13,hot,4,Medium
Galewela,dog coughing,16,0,hot,4,Medium
Galle,fleas,19,2,dry,2,Medium
Passara,loss of appetite,3,6,rainy,6,Medium
Hambantota,fleas,12,6,hot,4,Medium
Kosgama,kennel cough,6,8,dry,2,Medium
Middeniya,dog vomiting,5,11,rainy,6,Medium
Warakapola,eye infection,17,0,rainy,6,Medium
Kuliyapitiya,dog coughing,17,3,hot,4,Medium
Point Pedro,loss of appetite,17,11,hot,4,High
Hambantota,loss of appetite,4,0,humid,10,Low
Piliyandala,itchy skin,1,6,dry,2,Low
Embilipitiya,dog vomiting,1,12,dry,2,Medium
Ampara,lethargy,14,6,humid,10,Medium
Tissamaharama,dog vomiting,7,14,rainy,6,Medium
Maskeliya,dog coughing,13,0,hot,4,Medium
Avissawella,itchy skin,4,2,dry,2,Low
Kothmale,lethargy,13,0,humid,10,Medium
Balangoda,dog vomiting,8,8,dry,2,Medium
Vavuniya,dog fever,10,5,hot,4,Medium
Bandarawela,fleas,3,1,dry,2,Low
Dambulla,loss of appetite,5,1,rainy,6,Low
Rathmalana,fleas,13,9,humid,10,High
Ganemulla,loss of appetite,12,7,rainy,6,Medium
Mullaitivu,kennel cough,7,5,rainy,6,Medium
Anuradhapura,ticks,12,0,humid,10,Medium
Beruwala,kennel cough,2,10,humid,10,Medium
Mapalana,ticks,8,12,hot,4,Medium
Matale,dog coughing,11,7,hot,4,Medium
Kahawatte,dog fever,18,11,dry,2,High
Gonapola,dog coughing,11,6,humid,10,Medium
Maskeliya,kennel cough,10,0,rainy,6,Low
Matugama,fleas,14,6,humid,10,Medium
Mapalana,dog coughing,5,4,humid,10,Medium
Panadura,fleas,5,12,hot,4,Medium
Warakapola,loss of appetite,24,5,humid,10,High
Warakapola,fleas,10,6,dry,2,Medium
Haputale,dog coughing,0,6,humid,10,Medium
Bandarawela,itchy skin,11,6,hot,4,Medium
Agunukolapelessa,lethargy,18,9,hot,4,High
Wariyapola,kennel cough,7,7,hot,4,Medium
Ratnapura,fleas,5,3,dry,2,Low
Dehiwala,dog vomiting,2,3,rainy,6,Low
